1,对科学探究的理解,,
11,科学探究的意义,2053020101,科学探究的意义
12,猜想与事实验证,2053020102,猜想与事实验证
13,科学探究的基本方法,2053020103,科学探究的基本方法
14,科学探究的基本环节,2053020104,科学探究的基本环节
2,科学探究能力,,
21,测定空气里氧气含量的探究,2053020201,测定空气里氧气含量的探究
22,制取气体的反应原理的探究,2053020202,制取气体的反应原理的探究
23,质量守恒定律的实验探究,2053020203,质量守恒定律的实验探究
24,金属活动性的探究,2053020204,金属活动性的探究
25,探究酸碱的主要性质,2053020205,探究酸碱的主要性质
26,药品是否变质的探究,2053020206,药品是否变质的探究
27,缺失标签的药品成分的探究,2053020207,缺失标签的药品成分的探究
28,实验探究物质的性质或变化规律,2053020208,实验探究物质的性质或变化规律
29,探究金属锈蚀的条件,2053020209,探究金属锈蚀的条件
2A,燃烧的条件与灭火原理探究,2053020210,燃烧的条件与灭火原理探究
2B,影响化学反应速率的因素探究,2053020212,影响化学反应速率的因素探究
2C,实验探究物质变化的条件和影响物质变化的因素,2053020213,实验探究物质变化的条件和影响物质变化的因素
2D,食品干燥剂、保鲜剂和真空包装的成分探究,2053020214,食品干燥剂、保鲜剂和真空包装的成分探究
2E,化肥有效成分含量的探究,2053020215,化肥有效成分含量的探究
2F,味精中食盐含量的探究,2053020216,味精中食盐含量的探究
2G,实验探究物质的组成成分以及含量,2053020217,实验探究物质的组成成分以及含量
2H,物质除杂或净化的探究,2053020218,物质除杂或净化的探究
2I,气体制取装置的探究,2053020219,气体制取装置的探究
3,实验分析与处理能力,,
31,实验数据处理或者误差分析的探究,2053020301,实验数据处理或者误差分析的探究
32,实验操作注意事项的探究,2053020302,实验操作注意事项的探究
33,实验步骤的探究,2053020303,实验步骤的探究
34,化学实验方案设计与评价,2053020304,化学实验方案设计与评价
35,化学竞赛,,
4,基本的实验技能,,
41,用于加热的仪器,2053010105,用于加热的仪器
42,测量容器-量筒,2053010106,测量容器-量筒
43,称量器-托盘天平,2053010107,称量器-托盘天平
44,加热器皿-酒精灯,2053010108,加热器皿-酒精灯
45,挟持器-铁夹、试管夹、坩埚钳,2053010109,挟持器-铁夹、试管夹、坩埚钳
46,分离物质的仪器,2053010110,分离物质的仪器
47,量气装置,2053010111,量气装置
48,固体药品的取用,2053010201,固体药品的取用
49,液体药品的取用,2053010202,液体药品的取用
4A,给试管里的固体加热,2053010203,给试管里的固体加热
4B,给试管里的液体加热,2053010204,给试管里的液体加热
4C,物质的溶解,2053010205,物质的溶解
4D,浓硫酸的性质及浓硫酸的稀释,2053010206,浓硫酸的性质及浓硫酸的稀释
4E,一定溶质质量分数的溶液的配制,2053010207,一定溶质质量分数的溶液的配制
4F,混合物的分离方法,2053010208,混合物的分离方法
4G,过滤的原理、方法及其应用,2053010209,过滤的原理、方法及其应用
4H,结晶的原理、方法及其应用,2053010210,结晶的原理、方法及其应用
4I,蒸发与蒸馏操作,2053010211,蒸发与蒸馏操作
4J,仪器的装配或连接,2053010212,仪器的装配或连接
4K,检查装置的气密性,2053010213,检查装置的气密性
4L,玻璃仪器的洗涤,2053010214,玻璃仪器的洗涤
4M,常见的意外事故的处理方法,2053010301,常见的意外事故的处理方法
4N,实验室制取气体的思路,2053010401,实验室制取气体的思路
4O,常用气体的发生装置和收集装置与选取方法,2053010402,常用气体的发生装置和收集装置与选取方法
4P,常用气体的收集方法,2053010403,常用气体的收集方法
4Q,常见气体的检验与除杂方法,2053010404,常见气体的检验与除杂方法
4R,气体的净化（除杂）,2053010405,气体的净化（除杂）
4S,气体的干燥（除水）,2053010406,气体的干燥（除水）
4T,酸碱指示剂的使用,2053010501,酸碱指示剂的使用
4U,溶液的酸碱度测定,2053010502,溶液的酸碱度测定
4V,证明盐酸和可溶性盐酸盐,2053010503,证明盐酸和可溶性盐酸盐
4W,证明硫酸和可溶性硫酸盐,2053010504,证明硫酸和可溶性硫酸盐
4X,证明碳酸盐,2053010505,证明碳酸盐
4Y,证明铵盐,2053010506,证明铵盐
4Z,常用仪器的名称和选用,2053010104,常见仪器的名称与选用
5,化学的基本常识,,
51,化学的历史发展过程,2056010101,化学的历史发展过程
52,化学的研究领域,2056010102,化学的研究领域
53,化学的用途,2056010103,化学的用途
54,绿色化学,2056010104,绿色化学
55,蜡烛燃烧实验,2053020211,蜡烛燃烧实验
56,吸入空气与呼出气体的比较,2056010105,吸入空气与呼出气体的比较
57,学习化学的重要途径及学习方法,2056010106,学习化学的重要途径及学习方法
58,有关化学之最,2056010107,有关化学之最
59,化学常识,,
6,地球周围的空气,,
61,空气的成分及各成分的体积分数,2052010101,空气的成分及各成分的体积分数
62,空气组成的测定,2052010102,空气组成的测定
63,空气对人类生活的重要作用,2052010103,空气对人类生活的重要作用
64,空气的污染及其危害,2052010201,空气的污染及其危害
65,防治空气污染的措施,2052010202,防治空气污染的措施
66,目前环境污染问题,2052010203,目前环境污染问题
67,氧气的物理性质,2052040101,氧气的物理性质
68,氧气的化学性质,2052040102,氧气的化学性质
69,氧气的用途,2052040104,氧气的用途
6A,氧气与碳、磷、硫、铁等物质的反应现象,2052040102,氧气的化学性质
6B,氧气的工业制法,2052040201,氧气的工业制法
6C,实验室制取氧气的反应原理,2052040202,实验室制取氧气的反应原理
6D,氧气的制取装置,2052040203,氧气的制取装置
6E,氧气的收集方法,2052040206,氧气的收集方法
6F,氧气的检验和验满,2052040205,氧气的检验和验满
6G,制取氧气的操作步骤和注意点,2052040204,制取氧气的操作步骤和注意点
6H,自然界中的氧循环,2052040105,自然界中的氧循环
6I,自然界中的碳循环,2055020309,自然界中的碳循环
6J,催化剂的特点与催化作用,2052040106,催化剂的特点与催化作用
6K,常见气体的用途,2052010104,常见气体的用途
6L,二氧化碳的实验室制法,2052050301,二氧化碳的实验室制法
6M,二氧化碳的检验和验满,2052050303,二氧化碳的检验和验满
6N,制取二氧化碳的操作步骤和注意点,2052050302,制取二氧化碳的操作步骤和注意点
6O,二氧化碳的工业制法,2052050304,二氧化碳的工业制法
6P,二氧化碳的物理性质,2052050201,二氧化碳的物理性质
6Q,二氧化碳的化学性质,2052050202,二氧化碳的化学性质
6R,二氧化碳的用途,2052050203,二氧化碳的用途
6S,二氧化碳对环境的影响,2052050204,二氧化碳对环境的影响
6T,一氧化碳的物理性质,2052050401,一氧化碳的物理性质
6U,一氧化碳的化学性质,2052050402,一氧化碳的化学性质
6V,一氧化碳的毒性,2052050403,一氧化碳的毒性
6W,探究氧气的性质,2052040103,探究氧气的性质
6X,探究二氧化碳的性质,2052050205,探究二氧化碳的性质
7,水与常见的溶液,,
71,电解水实验,2052020101,电解水实验
72,水的组成,2052020102,水的组成
73,水的性质和应用,2052020103,水的性质和应用
74,水的合成与氢气的燃烧,2052020104,水的合成与氢气的燃烧
75,水的净化,2052020201,水的净化
76,自来水的生产过程与净化方法,2052020202,自来水的生产过程与净化方法
77,硬水与软水,2052020203,硬水与软水
78,水资源状况,2052020301,水资源状况
79,水资源的污染与防治,2052020302,水资源的污染与防治
7A,溶解现象与溶解原理,2051050101,溶解现象与溶解原理
7B,常见的溶剂,2051050102,常见的溶剂
7C,溶液的概念、组成及其特点,2051050103,溶液的概念、组成及其特点
7D,溶液、溶质和溶剂的相互关系与判断,2051050104,溶液、溶质和溶剂的相互关系与判断
7E,影响溶解快慢的因素,2051050201,影响溶解快慢的因素
7F,溶解时的吸热或放热现象,2051050202,溶解时的吸热或放热现象
7G,悬浊液、乳浊液的概念及其与溶液的区别,2051050301,悬浊液、乳浊液的概念及其与溶液的区别
7H,乳化现象与乳化作用,2051050302,乳化现象与乳化作用
7I,饱和溶液和不饱和溶液,2051050401,饱和溶液和不饱和溶液
7J,饱和溶液和不饱和溶液相互转变的方法,2051050402,饱和溶液和不饱和溶液相互转变的方法
7K,浓溶液、稀溶液跟饱和溶液、不饱和溶液的关系,2051050403,浓溶液、稀溶液跟饱和溶液、不饱和溶液的关系
7L,固体溶解度的概念,2051050501,固体溶解度的概念
7M,固体溶解度的影响因素,2051050502,固体溶解度的影响因素
7N,固体溶解度曲线及其作用,2051050503,固体溶解度曲线及其作用
7O,气体溶解度的影响因素,2051050504,气体溶解度的影响因素
7P,晶体和结晶的概念与现象,2051050505,晶体和结晶的概念与现象
