1,物态变化,2040301000000,物态变化
11,物质的物理特征,2040401020102,质量是物质的一种属性
12,物质的三态及其基本特征,2040301010102,固、液和气三种物态的基本特征
13,温度,2040301010201,温度的概念
14,摄氏温度及其计算,2040301010202,摄氏温度及其计算
15,液体温度计的构造与工作原理,2040301010301,液体温度计的构造与工作原理
16,温度计的使用及其读数,2040301010302,温度计的使用及其读数
17,温度计与体温计的异同,2040301010304,温度计与体温计的异同
18,体温计的使用及其读数,2040301010303,体温计的使用及其读数
19,熔化与熔化吸热特点,2040301020101,熔化现象
1A,凝固与凝固放热特点,2040301020201,凝固现象
1B,熔点和凝固点,2040301020304,熔点和凝固点
1C,熔化和凝固的温度—时间图象,2040301020305,熔化和凝固图像
1D,晶体和非晶体的区别,2040301020303,晶体与非晶体的区别
1E,熔化吸热和凝固放热在生活中的应用,2040301020201,凝固现象
1F,熔化和凝固的探究实验,2040301020400,熔化和凝固的探究实验
1G,晶体的熔化和凝固图像,2040301020305,熔化和凝固图像
1H,汽化及汽化吸热的特点,2040301030101,汽化现象
1I,沸腾及沸腾条件,2040301030105,沸腾及沸腾条件
1J,沸点及沸点与气压的关系,2040301030106,沸点及沸点与气压的关系
1K,蒸发及其现象,2040301030103,蒸发及其现象
1L,影响蒸发快慢的因素,2040301030104,影响蒸发快慢的因素
1M,液化及液化现象,2040301030201,液化现象
1N,液化方法及其应用,2040301030203,液化方法及其应用
1O,探究水的沸腾实验,2040301030107,探究水的沸腾实验
1P,升华和凝华的定义和特点,2040301040201,凝华现象
1Q,生活中的升华现象,2040301040101,升华现象
1R,生活中的凝华现象,2040301040201,凝华现象
1S,水的三态变化,2040301040300,水的三态变化
2,物质的属性,2040401000000,物质的属性
21,物质的基本属性,2040401020102,质量是物质的一种属性
22,质量及其特性,2040401020101,质量的概念
23,质量的估测,2040401020104,质量的估测
24,质量的单位换算,2040401020103,质量的单位及换算
25,质量的测量与天平,2040401020202,天平的读数
26,天平的使用,2040401020201,天平的调节
27,累积法测量微小质量,2040401020204,累积法测量微小质量
28,密度及其特性,2040401030102,密度是物质的一种特性
29,密度的大小比较,2040401030104,密度的大小比较
2A,密度的计算,2040401030105,密度的公式及计算
2B,密度公式的应用,2040401030106,密度公式的应用
2C,与密度有关的物理现象,2040401030107,与密度有关的物理现象
2D,量筒的使用,2040401040100,量筒的使用
2E,固体密度的测量,2040401040200,固体密度的测量
2F,液体密度的测量,2040401040300,液体密度的测量
2G,设计实验测密度,2040401040400,设计实验测密度
2H,密度与温度,2040401050101,热胀冷缩
2I,密度的应用与物质鉴别,2040401050201,鉴别物质
2J,空心、混合物质的密度计算,2040401050202,空心、混合物质的密度计算
2K,探究密度特性的实验,2040401030108,探究密度特性的实验
2L,液体的密度测量实验,2040401040500,液体的密度测量实验
2M,固体的密度测量实验,2040401040600,固体的密度测量实验
2N,物质属性对科技进步的影响,2040401020102,质量是物质的一种属性
2O,同极相斥，异极相吸的现象,2040506010104,磁极间的相互作用
2P,控制变量法与探究性实验方案,2040602000000,控制变量法与探究性实验方案
2Q,物理学方法,2040601000000,物理学方法
2R,物理常识,2040604000000,物理常识
2S,物理量的单位及单位换算,2040603000000,物理量的单位及单位换算
2T,静电现象,2040501010103,静电现象
3,物质结构与物体尺度,2040401010000,物质结构与物体尺度
31,分子和原子组成物质,2040401010101,物质由分子组成
32,原子的核式模型,2040401010200,原子的核式模型
33,人类探究微观世界的历程,2040401010301,人类探究微观世界的历程
34,人类探究太阳系及宇宙的历程,2040401010303,人类探究太阳系及宇宙的历程
35,物态的微观模型及特点,2040301010102,固、液和气三种物态的基本特征
36,从微观到宏观的尺度,2040401010302,从微观到宏观的尺度
37,分子动理论的其它内容及应用,2040302010500,分子动理论
4,新材料及应用,,
41,导体的特点,2040501020101,导体
42,半导体的特点,2040502020501,半导体的特点与作用
43,半导体的作用,2040502020501,半导体的特点与作用
44,超导体的特点,2040502020601,超导体的特点和作用
45,超导体的作用,2040502020601,超导体的特点和作用
46,超导现象,2040502020602,超导现象
47,超导体在磁悬浮列车、超导输电的应用,2040502020603,超导体在磁悬浮列车、超导输电的应用
48,纳米材料的应用和发展前景,2040401010401,纳米的单位换算
49,纳米材料的其它知识,2040401010401,纳米的单位换算
5,多种多样的运动形式,,
51,机械运动,2040402020100,机械运动
52,参照物及其选择,2040402020200,参照物及其选择
53,运动和静止的相对性,2040402020300,运动和静止的相对性
54,分子的热运动,2040302010100,分子热运动
55,宏观热现象和分子热运动的联系,2040302010100,分子热运动
56,电磁相互作用,2040506010104,磁极间的相互作用
57,电磁波在日常生活中的应用,2040507010300,电磁波在日常生活中的应用
58,运动形式的多样化,2040402020100,机械运动
6,运动和力,2040404000000,运动和力
61,时间的估测,2040402010303,时间的估测
62,时间的测量,2040402010301,时间的测量
63,长度的估测,2040402010104,长度的估测
64,长度的测量,2040402010101,长度的测量
66,刻度尺的使用,2040402010103,刻度尺的使用
67,误差及其减小方法,2040402010201,误差的产生原因
68,速度与物体运动,2040402030103,速度的估测
69,速度公式及其应用,2040402030201,速度公式及其应用
6A,速度的计算,2040402030202,速度的计算
6B,运动快慢的比较,2040402030203,运动快慢的比较
6C,匀速直线运动,2040402030204,匀速直线运动的特征
6D,变速运动与平均速度,2040402040100,变速运动
6E,力的概念,2040403010100,力的概念
6F,力的作用效果,2040403010301,力可以改变物体的运动状态
6G,力的三要素,2040403010400,力的三要素
6H,力的示意图,2040403010501,力的示意图
6I,力作用的相互性,2040403010600,力作用的相互性
6J,牛顿第一定律,2040404010101,牛顿第一定律
6K,物体运动状态变化的原因,2040403010301,力可以改变物体的运动状态
6L,惯性,2040404010201,惯性
6M,惯性现象,2040404010201,惯性
6N,阻力对物体运动影响的探究实验,2040404010102,阻力对物体运动影响的探究实验
6O,惯性在实际生活中的应用,2040404010203,惯性在实际生活中的应用
6P,二力平衡的概念,2040404020200,二力平衡的概念
6Q,平衡状态的判断,2040404020100,平衡状态的判断
6R,平衡力的辨别,2040404020400,平衡力的辨别
6S,平衡力和相互作用力的区分,2040404020500,平衡力和相互作用力的区分
6T,二力平衡条件的应用,2040404020300,二力平衡条件的应用
6U,力与运动的关系,2040404010300,力与运动的关系
6V,力与图象的结合,2040404010300,力与运动的关系
6W,力的合成与应用,2040404020600,力的合成与应用
7,力和机械,,
7!,滑轮组绳子拉力的计算,2040407020303,滑轮组绳子拉力的计算
7#,稳度和提高稳度的方法,2040403030400,重心与稳度
7@,滑轮组的设计与组装,2040407020301,滑轮组的设计与组装
71,弹力,2040403020100,弹力的定义
72,弹簧测力计及其原理,2040403020301,弹簧测力计及其原理
73,探究弹簧测力计原理的实验,2040403020304,探究弹簧测力计原理的实验
74,弹簧测力计的使用与读数,2040403020302,弹簧测力计的使用与读数
75,弹簧测力计在力的相互性方面的应用,2040403020303,弹簧测力计在力的相互性方面的应用
76,重力,2040403030100,重力
77,重力大小的估测,2040403030200,重力大小的估测
78,重力的计算,2040403030300,重力的计算
79,重心,2040403030400,重心与稳度
7A,重力的方向,2040403030500,重力的方向
7B,重力示意图,2040403030600,重力示意图
7C,探究重力大小跟什么因素有关的实验,2040403030700,探究重力大小跟什么因素有关的实验
7D,摩擦力的大小,2040403040700,摩擦力的大小
7E,摩擦力大小的影响因素,2040403040501,压力大小影响滑动摩擦力
7F,摩擦力产生的条件,2040403040100,摩擦力产生的条件
7G,摩擦力的方向,2040403040300,摩擦力的方向
7H,摩擦力的种类,2040403040201,滑动摩擦
7I,增大或减小摩擦的方法,2040403040600,增大或减小摩擦的方法
7J,摩擦力的示意图,2040403040400,摩擦力的示意图
7K,有关摩擦力的设计试验,2040403040800,有关摩擦力的设计试验
7L,探究摩擦力的大小与什么因素有关的实验,2040403040900,探究摩擦力的大小与什么因素有关的实验
7M,杠杆及其五要素,2040407010200,杠杆的五要素
7N,杠杆的平衡条件,2040407010402,杠杆的平衡条件
7O,杠杆的分类,2040407010701,省力杠杆
7P,力臂的画法,2040407010300,力臂的画法
7Q,杠杆的动态平衡分析,2040407010500,杠杆平衡条件的应用
7R,杠杆的平衡分析法及其应用,2040407010500,杠杆平衡条件的应用
7S,杠杆中最小力的问题,2040407010600,杠杆中最小力的问题
7T,杠杆的应用,2040407010701,省力杠杆
7U,探究杠杆的平衡条件实验,2040407010800,探究杠杆的平衡条件实验
7V,定滑轮及其工作特点,2040407020103,定滑轮的特点
7W,动滑轮及其工作特点,2040407020203,动滑轮的特点
7X,滑轮组及其工作特点,2040407020302,滑轮组及其工作特点
7Y,轮轴及其他常见简单机械,2040407030101,轮轴的组成
7Z,动滑轮拉力的计算,2040407020204,动滑轮拉力的计算
8,压强和浮力,,
81,压力及重力与压力的区别,2040405010101,压力的定义
82,压强,2040405010201,压强的定义
83,压强大小比较,2040405010203,压强大小比较
84,增大压强的方法及其应用,2040405010206,增大压强的方法及其应用
85,减小压强的方法及其应用,2040405010207,减小压强的方法及其应用
86,压强的大小及其计算,2040405010204,压强的大小及其计算
87,探究压力的作用效果跟什么因素有关的实验,2040405010209,探究压力的作用效果跟什么因素有关的实验
88,液体的压强的特点,2040405020200,液体内部压强的特点
89,液体的压强的计算,2040405020300,液体压强的计算
8A,液体压强计算公式的应用,2040405020500,液体压强计算公式的应用
8B,连通器原理,2040405020600,连通器原理
8C,探究液体压强的特点实验,2040405020700,探究液体压强的特点实验
8D,利用平衡法求液体密度,2040406030401,密度计
8E,大气压强的存在,2040405030200,大气压强的存在
8F,大气压强的测量方法,2040405030301,托里拆利实验
8G,大气压强与高度的关系,2040405030401,大气压强与高度的关系
8H,气体压强跟体积的关系,2040405030500,气体压强跟体积的关系
8I,气压计和抽水机,2040405030700,气压计和抽水机
8J,大气压的综合应用,2040405030600,大气压强的利用
8K,流体压强与流速的关系,2040405040100,流体压强与流速的关系
8L,飞机的升力,2040405040300,飞机的升力
8M,流体压强与流速关系的探究实验,2040405040200,探究流体压强与流速关系的实验
8N,浮力产生的原因,2040406010200,浮力产生的原因
8O,阿基米德原理,2040406020200,阿基米德原理的公式：F浮=G排=ρ液gV排
8P,浮力大小的计算,2040406030201,称重法计算浮力
8Q,浮力的利用,2040406030401,密度计
8R,探究浮力大小的实验,2040406030300,探究浮力大小的实验
8S,物体的浮沉条件及其应用,2040406030101,浮力与重力
8T,帕斯卡原理及其应用,2040405020500,液体压强计算公式的应用
9,声现象,,
91,声音的产生,2040101010100,声音的产生
92,声音的传播条件,2040101020101,气、液、固能够传声
93,声速,2040101020202,声速
94,声音在不同介质中的传播速度,2040101020201,声速的快慢：V固>V液>V气
95,声速的大小跟介质温度的关系,2040101020203,声速大小跟温度的关系
96,回声,2040101020204,回声
97,回声测距离的应用,2040101020205,回声测距离
98,人耳的构成,2040102010100,人耳的构造
99,人耳感知声音的过程及听到声音的条件,2040102010200,人耳感知声音的过程
9A,骨传声及骨传导的原理,2040102020100,骨传声及骨传导的原理
9B,双耳效应,2040102020200,双耳效应
9C,音调,2040103010100,音调
9D,频率及音调的关系,2040103010200,音调与频率的关系
9E,超声波与次声波,2040103020100,超声波的应用
9F,响度,2040103010300,响度
9G,响度与振幅的关系,2040103010400,响度与振幅的关系
9H,音色,2040103010500,音色
9I,音调、响度与音色的区分,2040103010600,音调、响度与音色的区分
9J,噪声及来源,2040104010200,噪声的来源
9K,声音的等级和噪声的危害,2040104010300,声音的等级与噪声的危害
9L,防治噪声的途径,2040104020100,在声源处减弱噪声
9M,声与信息,2040105010000,声音传递信息
9N,声与能量,2040105020000,声音传递能量
9O,声音的综合利用,2040105030000,声音的综合利用
A,光现象,2040201000000,光现象
A1,光源,2040201010101,光源的概念
A2,光在均匀介质中直线传播,2040201010202,光的直线传播现象
A3,光直线传播的应用,2040201010202,光的直线传播现象
A4,光的传播速度与光年,2040201010304,光年
A5,光线,2040201010203,光线
A6,光的反射,2040201020100,光的反射现象
A7,光的反射定律,2040201020201,光的反射定律内容
A8,作光的反射光路图,2040201020202,作图确定入射光线或反射光线的位置
A9,镜面反射,2040201020401,镜面反射
AA,漫反射,2040201020402,漫反射
AB,镜面反射和漫反射的异同点,2040201020403,镜面反射和漫反射的异同点
AC,光反射的可逆性,2040201020300,反射中光路的可逆性
AD,平面镜对光的作用,2040201030102,平面镜成像特点
AE,平面镜成像的特点、原理、现象及其实验方案,2040201030102,平面镜成像特点
AF,平面镜成虚像的原因,2040202020201,实像
AG,实像与虚像的区别,2040202020201,实像
AH,平面镜成像的相关作图,2040201030103,平面镜成像的相关作图
AI,平面镜的应用,2040201030104,平面镜的应用
