1,细胞的分子组成,,,0
11,细胞的发现、细胞学说的建立、内容和发展,3060101010000,生物及生物学的研究范畴,1
12,氨基酸的分子结构特点和通式,3060202010000,氨基酸的分子结构通式及其结构特点,3
13,氨基酸的种类,3060202010000,氨基酸的分子结构通式及其结构特点,3
14,蛋白质分子的化学结构和空间结构,3060202030000,蛋白质分子结构和功能的多样性原因,4
15,蛋白质分子结构多样性的原因,3060202030000,蛋白质分子结构和功能的多样性原因,4
16,蛋白质的合成——氨基酸脱水缩合,3060202020000,氨基酸脱水缩合形成蛋白质的过程,4
17,蛋白质在生命活动中的主要功能,3060202040000,蛋白质的在生命活动中的主要功能,3
18,蛋白质变性的主要因素,3060202030000,蛋白质分子结构和功能的多样性原因,4
19,检测蛋白质的实验,3060202050000,蛋白质的鉴定实验,5
1A,蛋白质的结构和功能的综合,3060202030000,蛋白质分子结构和功能的多样性原因,4
1B,核酸的基本组成单位,3060203020000,核酸、核苷酸、含氮碱基的种类及联系,3
1C,核酸的种类及主要存在的部位,3060203010000,核酸的分类及主要存在部位,1
1D,核酸在生命活动中的作用,,,0
1E,DNA、RNA在细胞中的分布实验,3060203040000,观察DNA和RNA在细胞中的分布实验,1
1F,DNA与RNA的异同,3060203030000,DNA和RNA的主要功能,2
1G,核酸的结构和功能的综合,3060203030000,DNA和RNA的主要功能,2
1H,糖类的组成元素,3060204010000,糖类的种类、分布和功能,2
1I,糖类的种类及其分布和功能,3060204010000,糖类的种类、分布和功能,2
1J,糖类的作用,3060204010000,糖类的种类、分布和功能,2
1K,检测还原糖的实验,3060204020000,还原性糖的鉴定实验,3
1L,糖类的种类和作用的综合,3060204010000,糖类的种类、分布和功能,2
1M,脂质的组成元素,3060204030000,脂质的种类及各种脂质的功能,2
1N,脂质的种类及其功能,3060204030000,脂质的种类及各种脂质的功能,2
1O,脂质在生命活动中的作用,3060204030000,脂质的种类及各种脂质的功能,2
1P,检测脂肪的实验,3060204050000,鉴定脂肪的实验原理，尝试生物组织中脂肪的检测方法,3
1Q,脂质的种类和作用的综合,3060204030000,脂质的种类及各种脂质的功能,2
1R,碳原子的结构特点,3060201010000,组成细胞的元素的分类及含量,1
1S,生物大分子以碳链为骨架,,,0
1T,水在细胞中的存在形式和作用,3060205010000,水,1
1U,无机盐的主要存在形式和作用,3060205020000,无机盐,1
1V,水和无机盐的作用的综合,3060205020000,无机盐,1
1W,真题集萃,,,0
2,细胞的结构,,,0
21,细胞膜的成分,3060302020000,细胞膜的化学组成及各组分的功能,2
22,细胞膜的制备方法,3060302010000,体验制备细胞膜的方法,2
23,细胞膜的结构特点,3060302040000,细胞膜的结构、基本功能和特点,3
24,细胞膜的功能,3060302020000,细胞膜的化学组成及各组分的功能,2
25,电子显微镜,,,0
26,细胞观察实验,,,0
27,原核细胞和真核细胞的形态和结构的异同,3060102010000,光学显微镜和电子显微镜,1
