化学用语,3050101000000
物质组成与分类,3050102000000
物质的量的单位——摩尔,3050103010000
气体摩尔体积,3050103020000
物质的量浓度,3050103030000
氧化还原反应的概念,3050104010000
氧化还原反应的表示方法,3050104020000
氧化性、还原性强弱比较,3050104030000
氧化还原反应的配平,3050104040000
氧化还原反应的计算,3050104050000
焓变与反应热,3050201010000
吸热反应与放热反应,3050201020000
热化学方程式,3050201030000
盖斯定律及其应用,3050201040000
常见能量的转化形式,3050201050000
化石燃料,3050201060000
原电池,3050202010000
燃料电池,3050202020000
电解池,3050202030000
电解应用,3050202040000
金属的腐蚀与防护,3050202050000
二次电池,3050202060000
电解质,3050203010000
电离及电离方程式,3050203020000
离子反应,3050203030000
离子共存,3050203040000
离子方程式的书写与判断,3050203050000
原子结构,3050204010000
化学键,3050204020000
分子结构,3050204030000
元素周期律（表）,3050204040000
晶体结构,3050204050000
化学反应速率,3050205010000
化学平衡,3050205020000
化学平衡移动,3050205030000
化学平衡的计算,3050205040000
等效平衡,3050205050000
化学平衡图像,3050205060000
化学反应的方向和限度,3050205070000
电解质溶液中的守恒关系,3050206010000
强、弱电解质的比较,3050206020000
弱电解质的电离平衡,3050206030000
影响电离平衡的因素,3050206040000
水的电离,3050207010000
pH计算,3050207020000
盐类的水解平衡,3050208010000
影响盐类水解的因素,3050208020000
溶液中离子浓度的大小关系,3050208030000
盐类水解的应用,3050208040000
沉淀溶解平衡,3050209010000
沉淀反应的应用,3050209020000
沉淀溶解平衡的计算,3050209030000
钠,3050301010000
氧化钠和过氧化钠,3050301020000
碳酸钠和碳酸氢钠,3050301030000
碱金属元素,3050301040000
镁及其化合物,3050302010000
铝,3050302020000
氧化铝,3050302030000
氢氧化铝,3050302040000
铝离子,3050302050000
偏铝酸根离子,3050302060000
铝及其化合物的相互转化,3050302070000
铁,3050303010000
亚铁离子,3050303020000
三价铁离子,3050303030000
亚铁离子、三价铁离子的转化,3050303040000
亚铁离子、三价铁离子的检验,3050303050000
铁的氧化物及氢氧化物,3050303060000
铜,3050304010000
铜的化合物,3050304020000
金属的通性,3050305010000
常见金属的冶炼,3050305020000
合金,3050305030000
金属材料,3050305040000
金属单质及化合物综合,3050305050000
氯气及次氯酸,3050401010000
卤素单质及化合物性质的相似性和递变性,3050401020000
海水资源的综合利用,3050401030000
臭氧 过氧化氢,3050402010000
硫,3050402020000
二氧化硫及亚硫酸,3050402030000
三氧化硫,3050402040000
硫化氢,3050402060000
氧族元素,3050402070000
氮气,3050403010000
氮的氧化物,3050403020000
氨气,3050403030000
铵盐,3050403040000
硝酸,3050403050000
亚硝酸及亚硝酸盐,3050403060000
氮族元素,3050403070000
碳的单质,3050404010000
碳的氧化物,3050404020000
硅的性质,3050404030000
二氧化硅的性质,3050404040000
硅酸与硅酸盐,3050404050000
有机物的分类,3050501010000
有机物的结构、成键特点,3050501020000
分子的共线、共面问题,3050501030000
同分异构体判断与书写,3050501040000
有机物的命名,3050501050000
研究有机物的一般步骤,3050502000000
有机物的结构和性质,3050503000000
有机物结构简式确定问题,3050504000000
烃的分类及通式,3050505010000
烃基、烃的结构和性质概述,3050505020000
同系物的概念,3050505030000
甲烷及烷烃的性质,3050505040000
烯烃和炔烃的性质,3050505050000
苯 芳香烃,3050505060000
烃类燃烧规律及计算,3050505070000
石油化工,3050505080000
煤的综合利用,3050505090000
烃的衍生物的分类及官能团,3050506010000
溴乙烷 卤代烃,3050506020000
乙醇 醇类,3050506030000
苯酚 酚类,3050506040000
乙醛 醛类,3050506050000
乙酸 羧酸 酯类,3050506060000
有机高分子化合物,3050507000000
有机反应类型,3050508000000
有机合成与推断,3050509000000
常见的仪器及使用,3050601000000
化学实验基本操作,3050602000000
物质的分离、提纯与检验,3050603000000
常见气体的制备,3050604000000
重要的学生定量实验,3050605000000
探究性实验,3050606000000
化学实验方案的设计与评价,3050607000000
化学计算（简单计算）,3050701000000
化学计算（综合计算）,3050702000000
糖类、油脂、蛋白质,3050801010000
维生素,3050801020000
微量元素,3050801030000
食品添加剂,3050801040000
生活中常用药物,3050801050000
保护生存环境,3050802000000
化学学科特点,3050803000000
